COLUMN 1 - Plot 0	COLUMN 4 - Plot 0
4.4	-4.55E-11
4.2	-3.38E-11
4	-4.65E-11
3.8	-5.04E-11
3.6	-3.65E-11
3.4	-4.89E-11
3.2	-5.21E-11
3	-3.83E-11
2.8	-4.98E-11
2.6	-5.33E-11
2.4	-3.96E-11
2.2	-5.16E-11
2	-5.48E-11
1.8	-4.10E-11
1.6	-5.24E-11
1.4	-5.58E-11
1.2	-5.71E-11
1	-5.90E-11
0.8	-6.00E-11
0.6	-6.13E-11
0.4	-4.77E-11
0.2	-5.83E-11
0	-6.12E-11
-0.2	-6.29E-11
-0.4	-6.39E-11
-0.6	-6.47E-11
-0.8	-6.61E-11
-1	-6.70E-11
-1.2	-6.81E-11
-1.4	-6.87E-11
-1.6	-6.95E-11
-1.8	-7.15E-11
-2	-7.21E-11
-2.2	-7.44E-11
-2.4	-7.55E-11
-2.6	-7.14E-11
-2.8	-7.75E-11
-3	-8.14E-11
-3.2	-8.34E-11
-3.4	-8.67E-11
-3.6	-9.14E-11
-3.8	-9.41E-11
-4	-9.93E-11
-4.2	-1.03E-10
-4.4	-1.07E-10
-4.6	-1.13E-10
-4.8	-1.17E-10
-5	-1.22E-10
-5.2	-1.29E-10
-5.4	-1.32E-10
-5.6	-1.39E-10
-5.8	-1.42E-10
-6	-1.47E-10
-6.2	-1.53E-10
-6.4	-1.57E-10
-6.6	-1.61E-10
-6.8	-1.67E-10
-7	-1.70E-10
-7.2	-1.75E-10
-7.4	-1.79E-10
-7.6	-1.83E-10
-7.8	-1.89E-10
-8	-1.93E-10
-8.2	-1.97E-10
-8.4	-2.02E-10
-8.6	-2.07E-10
-8.8	-2.12E-10
-9	-2.17E-10
-9.2	-2.20E-10
-9.4	-2.26E-10
-9.6	-2.32E-10
-9.8	-2.38E-10
-10	-2.17E-10
-10.2	-2.39E-10
-10.4	-2.49E-10
-10.6	-2.57E-10
-10.8	-2.66E-10
-11	-2.72E-10
-11.2	-2.80E-10
-11.4	-2.88E-10
-11.6	-2.94E-10
-11.8	-3.02E-10
-12	-3.09E-10
-12.2	-3.18E-10
-12.4	-3.26E-10
-12.6	-3.33E-10
-12.8	-3.41E-10
-13	-3.50E-10
-13.2	-3.57E-10
-13.4	-3.67E-10
-13.6	-3.75E-10
-13.8	-3.83E-10
-14	-3.93E-10
-14.2	-4.01E-10
-14.4	-4.09E-10
-14.6	-4.20E-10
-14.8	-4.29E-10
-15	-4.39E-10
-15.2	-4.50E-10
-15.4	-4.58E-10
-15.6	-4.69E-10
-15.8	-4.79E-10
-16	-4.90E-10
-16.2	-5.01E-10
-16.4	-5.11E-10
-16.6	-5.23E-10
-16.8	-5.34E-10
-17	-5.45E-10
-17.2	-5.57E-10
-17.4	-5.69E-10
-17.6	-5.80E-10
-17.8	-5.93E-10
-18	-6.06E-10
-18.2	-6.18E-10
-18.4	-6.31E-10
-18.6	-6.44E-10
-18.8	-6.58E-10
-19	-6.72E-10
-19.2	-6.85E-10
-19.4	-6.99E-10
-19.6	-7.13E-10
-19.8	-7.28E-10
-20	-7.42E-10
-20	-8.40E-10
-19.8	-7.69E-10
-19.6	-7.21E-10
-19.4	-6.83E-10
-19.2	-6.49E-10
-19	-6.16E-10
-18.8	-5.86E-10
-18.6	-5.56E-10
-18.4	-5.26E-10
-18.2	-4.98E-10
-18	-4.69E-10
-17.8	-4.42E-10
-17.6	-4.14E-10
-17.4	-4.03E-10
-17.2	-3.65E-10
-17	-3.36E-10
-16.8	-3.09E-10
-16.6	-2.85E-10
-16.4	-2.60E-10
-16.2	-2.39E-10
-16	-2.17E-10
-15.8	-1.97E-10
-15.6	-1.79E-10
-15.4	-1.61E-10
-15.2	-1.46E-10
-15	-1.31E-10
-14.8	-1.18E-10
-14.6	-1.06E-10
-14.4	-9.40E-11
-14.2	-8.52E-11
-14	-7.63E-11
-13.8	-6.68E-11
-13.6	-6.11E-11
-13.4	-5.32E-11
-13.2	-4.85E-11
-13	-4.37E-11
-12.8	-3.73E-11
-12.6	-3.41E-11
-12.4	-2.92E-11
-12.2	-2.72E-11
