9.4	4.86E-07
9.2	4.70E-07
9	4.55E-07
8.8	4.40E-07
8.6	4.25E-07
8.4	4.10E-07
8.2	3.95E-07
8	3.81E-07
7.8	3.68E-07
7.6	3.54E-07
7.4	3.41E-07
7.2	3.28E-07
7	3.15E-07
6.8	3.03E-07
6.6	2.91E-07
6.4	2.79E-07
6.2	2.67E-07
6	2.56E-07
5.8	2.45E-07
5.6	2.35E-07
5.4	2.24E-07
5.2	2.14E-07
5	2.04E-07
4.8	1.95E-07
4.6	1.86E-07
4.4	1.77E-07
4.2	1.68E-07
4	1.60E-07
3.8	1.52E-07
3.6	1.44E-07
3.4	1.37E-07
3.2	1.29E-07
3	1.22E-07
2.8	1.16E-07
2.6	1.09E-07
2.4	1.03E-07
2.2	9.72E-08
2	9.15E-08
1.8	8.61E-08
1.6	8.10E-08
1.4	7.60E-08
1.2	7.13E-08
1	6.68E-08
0.8	6.26E-08
0.6	5.85E-08
0.4	5.47E-08
0.2	5.10E-08
0	4.76E-08
-0.2	4.43E-08
-0.4	4.12E-08
-0.6	3.83E-08
-0.8	3.56E-08
-1	3.30E-08
-1.2	3.06E-08
-1.4	2.84E-08
-1.6	2.63E-08
-1.8	2.43E-08
-2	2.24E-08
-2.2	2.07E-08
-2.4	1.91E-08
-2.6	1.76E-08
-2.8	1.62E-08
-3	1.49E-08
-3.2	1.42E-08
-3.4	1.30E-08
-3.6	1.20E-08
-3.8	1.11E-08
-4	1.02E-08
-4.2	9.45E-09
-4.4	8.74E-09
-4.6	8.10E-09
-4.8	7.52E-09
-5	7.11E-09
-5.2	6.63E-09
-5.4	6.19E-09
-5.6	5.80E-09
-5.8	5.44E-09
-6	5.12E-09
-6.2	4.84E-09
-6.4	4.58E-09
-6.6	4.35E-09
-6.8	4.15E-09
-7	3.97E-09
-7.2	3.81E-09
-7.4	3.66E-09
-7.6	3.53E-09
-7.8	3.41E-09
-8	3.30E-09
-8.2	3.20E-09
-8.4	3.11E-09
-8.6	3.03E-09
-8.8	2.95E-09
-9	2.88E-09
-9.2	2.81E-09
-9.4	2.75E-09
-9.6	2.69E-09
-9.8	2.64E-09
-10	2.58E-09
-10.2	2.53E-09
-10.4	2.48E-09
-10.6	2.44E-09
-10.8	2.39E-09
-11	2.34E-09
-11.2	2.30E-09
-11.4	2.26E-09
-11.6	2.22E-09
-11.8	2.17E-09
-12	2.13E-09
-12.2	2.10E-09
-12.4	2.06E-09
-12.6	2.02E-09
-12.8	1.99E-09
-13	1.95E-09
-13.2	1.91E-09
-13.4	1.88E-09
-13.6	1.85E-09
-13.8	1.82E-09
-14	1.79E-09
-14.2	1.75E-09
-14.4	1.73E-09
-14.6	1.70E-09
-14.8	1.67E-09
-15	1.64E-09
-15.2	1.63E-09
-15.4	1.62E-09
-15.6	1.61E-09
-15.8	1.60E-09
-16	1.60E-09
-16.2	1.59E-09
-16.4	1.58E-09
-16.6	1.57E-09
-16.8	1.57E-09
-17	1.56E-09
-17.2	1.55E-09
-17.4	1.55E-09
-17.6	1.54E-09
-17.8	1.54E-09
-18	1.53E-09
-18.2	1.53E-09
-18.4	1.52E-09
-18.6	1.52E-09
-18.8	1.51E-09
-19	1.51E-09
-19.2	1.51E-09
-19.4	1.50E-09
-19.6	1.50E-09
-19.8	1.49E-09
-20	1.49E-09
-20	2.15E-09
-19.8	2.66E-09
-19.6	3.11E-09
-19.4	3.59E-09
-19.2	4.09E-09
-19	4.63E-09
-18.8	5.20E-09
-18.6	5.80E-09
-18.4	6.45E-09
