COLUMN 1 - Plot 0	COLUMN 2 - Plot 0
3.2	3.10E-07
3	2.89E-07
2.8	2.69E-07
2.6	2.49E-07
2.4	2.29E-07
2.2	2.09E-07
2	1.89E-07
1.8	1.70E-07
1.6	1.50E-07
1.4	1.31E-07
1.2	1.12E-07
1	9.28E-08
0.8	7.40E-08
0.6	5.52E-08
0.4	3.67E-08
0.2	1.82E-08
0	0.32E+00
-0.2	-1.81E-08
-0.4	-3.61E-08
-0.6	-5.39E-08
-0.8	-7.15E-08
-1	-8.90E-08
-1.2	-1.06E-07
-1.4	-1.24E-07
-1.6	-1.40E-07
-1.8	-1.57E-07
-2	-1.74E-07
-2.2	-1.90E-07
-2.4	-2.06E-07
-2.6	-2.22E-07
-2.8	-2.38E-07
-3	-2.53E-07
-3.2	-2.68E-07
-3.4	-2.83E-07
-3.6	-2.97E-07
-3.8	-3.11E-07
-4	-3.24E-07
-4.2	-3.37E-07
-4.4	-3.50E-07
-4.6	-3.61E-07
-4.8	-3.73E-07
-5	-3.84E-07
-5.2	-3.94E-07
-5.4	-4.04E-07
-5.6	-4.13E-07
-5.8	-4.21E-07
-6	-4.29E-07
-6.2	-4.36E-07
-6.4	-4.42E-07
-6.6	-4.48E-07
-6.8	-4.53E-07
-7	-4.57E-07
-7.2	-4.61E-07
-7.4	-4.65E-07
-7.6	-4.68E-07
-7.8	-4.70E-07
-8	-4.73E-07
-8.2	-4.75E-07
-8.4	-4.76E-07
-8.6	-4.78E-07
-8.8	-4.79E-07
-9	-4.80E-07
-9.2	-4.81E-07
-9.4	-4.82E-07
-9.6	-4.83E-07
-9.8	-4.83E-07
-10	-4.84E-07
-10.2	-4.84E-07
-10.4	-4.85E-07
-10.6	-4.85E-07
-10.8	-4.85E-07
-11	-4.86E-07
-11.2	-4.86E-07
-11.4	-4.86E-07
-11.6	-4.87E-07
-11.8	-4.87E-07
-12	-4.87E-07
-12.2	-4.88E-07
-12.4	-4.88E-07
-12.6	-4.88E-07
-12.8	-4.88E-07
-13	-4.89E-07
-13.2	-4.89E-07
-13.4	-4.89E-07
-13.6	-4.89E-07
-13.8	-4.89E-07
-14	-4.90E-07
-14.2	-4.90E-07
-14.4	-4.90E-07
-14.6	-4.90E-07
-14.8	-4.91E-07
-15	-4.91E-07
-15.2	-4.91E-07
-15.4	-4.91E-07
-15.6	-4.92E-07
-15.8	-4.92E-07
-16	-4.92E-07
-16.2	-4.92E-07
-16.4	-4.92E-07
-16.6	-4.93E-07
-16.8	-4.93E-07
-17	-4.93E-07
-17.2	-4.93E-07
-17.4	-4.94E-07
-17.6	-4.94E-07
-17.8	-4.94E-07
-18	-4.94E-07
-18.2	-4.94E-07
-18.4	-4.95E-07
-18.6	-4.95E-07
-18.8	-4.95E-07
-19	-4.95E-07
-19.2	-4.96E-07
-19.4	-4.96E-07
-19.6	-4.96E-07
-19.8	-4.96E-07
-20	-4.97E-07
