COLUMN 1 - Plot 0	COLUMN 4 - Plot 0
-6.4	5.69E-11
-6.2	5.91E-11
-6	6.23E-11
-5.8	6.87E-11
-5.6	7.51E-11
-5.4	8.33E-11
-5.2	9.26E-11
-5	9.90E-11
-4.8	1.04E-10
-4.6	1.08E-10
-4.4	1.10E-10
-4.2	1.10E-10
-4	1.11E-10
-3.8	1.10E-10
-3.6	1.10E-10
-3.4	1.09E-10
-3.2	1.07E-10
-3	1.07E-10
-2.8	1.06E-10
-2.6	1.04E-10
-2.4	1.03E-10
-2.2	1.03E-10
-2	1.01E-10
-1.8	1.00E-10
-1.6	9.94E-11
-1.4	9.89E-11
-1.2	9.77E-11
-1	9.52E-11
-0.8	9.66E-11
-0.6	9.59E-11
-0.4	9.53E-11
-0.2	9.50E-11
0	9.49E-11
0.2	9.37E-11
0.4	9.39E-11
0.6	9.30E-11
0.8	9.29E-11
1	9.26E-11
1.2	9.21E-11
1.4	9.23E-11
1.6	9.18E-11
1.8	9.15E-11
2	9.14E-11
2.2	8.43E-11
2.4	8.77E-11
2.6	8.86E-11
2.8	8.92E-11
3	8.97E-11
3.2	8.97E-11
3.4	8.99E-11
3.6	9.00E-11
3.8	9.00E-11
4	9.05E-11
4.2	9.08E-11
4.4	9.12E-11
4.6	9.17E-11
4.8	9.19E-11
5	9.24E-11
5.2	9.29E-11
5.4	9.40E-11
5.6	9.48E-11
5.8	9.64E-11
6	9.80E-11
6.2	9.96E-11
6.4	1.02E-10
6.6	1.03E-10
6.8	1.05E-10
7	1.06E-10
7.2	1.06E-10
7.4	1.07E-10
7.6	1.08E-10
7.8	1.08E-10
8	1.08E-10
8.2	1.09E-10
8.4	1.09E-10
8.6	1.08E-10
8.8	1.09E-10
9	1.08E-10
9.2	1.08E-10
9.4	1.09E-10
9.6	1.09E-10
9.8	1.09E-10
10	1.09E-10
10.2	1.09E-10
10.4	1.09E-10
10.6	1.09E-10
10.8	1.09E-10
11	1.09E-10
11.2	1.10E-10
11.4	1.09E-10
11.6	1.10E-10
11.8	1.10E-10
12	1.10E-10
12.2	1.10E-10
12.4	1.10E-10
12.6	1.11E-10
12.8	1.11E-10
13	1.11E-10
13.2	1.11E-10
13.4	1.11E-10
13.6	1.12E-10
13.8	1.12E-10
14	1.12E-10
14.2	1.12E-10
14.4	1.13E-10
14.6	1.13E-10
14.8	1.13E-10
15	1.14E-10
15.2	1.14E-10
15.4	1.14E-10
15.6	1.14E-10
15.8	1.15E-10
16	1.15E-10
16.2	1.15E-10
16.4	1.16E-10
16.6	1.16E-10
16.8	1.17E-10
17	1.17E-10
17.2	1.17E-10
17.4	1.18E-10
17.6	1.18E-10
17.8	1.19E-10
18	1.19E-10
18.2	1.20E-10
18.4	1.20E-10
18.6	1.20E-10
