20	-6.83E-10
19.8	-3.60E-10
19.6	-2.90E-10
19.4	-2.46E-10
19.2	-2.15E-10
19	-1.91E-10
18.8	-1.72E-10
18.6	-1.57E-10
18.4	-1.45E-10
18.2	-1.35E-10
18	-1.26E-10
17.8	-1.18E-10
17.6	-1.11E-10
17.4	-1.04E-10
17.2	-9.87E-11
17	-9.35E-11
16.8	-8.89E-11
16.6	-8.45E-11
16.4	-8.08E-11
16.2	-7.69E-11
16	-7.37E-11
15.8	-7.07E-11
15.6	-6.85E-11
15.4	-6.71E-11
15.2	-6.88E-11
15	-7.45E-11
14.8	-9.10E-11
14.6	-1.13E-10
14.4	-1.47E-10
14.2	-1.94E-10
14	-2.51E-10
13.8	-3.25E-10
13.6	-4.21E-10
13.4	-5.45E-10
13.2	-7.04E-10
13	-9.04E-10
12.8	-1.17E-09
12.6	-1.50E-09
12.4	-1.92E-09
12.2	-2.44E-09
12	-3.07E-09
11.8	-3.84E-09
11.6	-4.77E-09
11.4	-5.88E-09
11.2	-7.20E-09
11	-8.76E-09
10.8	-1.00E-08
10.6	-1.23E-08
10.4	-1.48E-08
10.2	-1.77E-08
10	-2.09E-08
9.8	-2.46E-08
9.6	-2.88E-08
9.4	-3.35E-08
9.2	-3.87E-08
9	-4.45E-08
8.8	-5.09E-08
8.6	-5.80E-08
8.4	-6.57E-08
8.2	-7.42E-08
8	-8.34E-08
7.8	-9.33E-08
7.6	-1.04E-07
7.4	-1.13E-07
7.2	-1.26E-07
7	-1.39E-07
6.8	-1.53E-07
6.6	-1.69E-07
6.4	-1.85E-07
6.2	-2.01E-07
6	-2.19E-07
5.8	-2.38E-07
5.6	-2.57E-07
5.4	-2.78E-07
5.2	-2.99E-07
5	-3.22E-07
4.8	-3.45E-07
4.6	-3.69E-07
4.4	-3.94E-07
4.2	-4.19E-07
4	-4.46E-07
3.8	-4.74E-07
3.6	-5.02E-07
3.4	-5.31E-07
3.2	-5.61E-07
3	-5.91E-07
2.8	-6.23E-07
2.6	-6.55E-07
2.4	-6.87E-07
2.2	-7.21E-07
2	-7.55E-07
1.8	-7.89E-07
1.6	-8.24E-07
1.4	-8.60E-07
1.2	-8.96E-07
1	-9.33E-07
0.8	-9.70E-07
0.6	-1.01E-06
0.4	-1.05E-06
0.2	-1.08E-06
0	-1.12E-06
-0.2	-1.16E-06
-0.4	-1.20E-06
-0.6	-1.24E-06
-0.8	-1.28E-06
-1	-1.32E-06
-1.2	-1.36E-06
-1.4	-1.40E-06
-1.6	-1.44E-06
-1.8	-1.48E-06
-2	-1.52E-06
-2.2	-1.56E-06
-2.4	-1.60E-06
-2.6	-1.64E-06
-2.8	-1.68E-06
-3	-1.72E-06
-3.2	-1.76E-06
-3.4	-1.80E-06
-3.6	-1.84E-06
-3.8	-1.88E-06
-4	-1.92E-06
-4.2	-1.96E-06
-4.4	-2.00E-06
-4.6	-2.04E-06
-4.8	-2.08E-06
-5	-2.12E-06
-5.2	-2.15E-06
-5.4	-2.19E-06
-5.6	-2.23E-06
-5.8	-2.27E-06
-6	-2.31E-06
-6.2	-2.34E-06
-6.4	-2.38E-06
-6.6	-2.42E-06
-6.8	-2.45E-06
-7	-2.49E-06
-7.2	-2.52E-06
-7.4	-2.56E-06
-7.6	-2.60E-06
-7.8	-2.63E-06
-8	-2.67E-06
-8.2	-2.70E-06
-8.4	-2.73E-06
-8.6	-2.77E-06
-8.8	-2.80E-06
-9	-2.83E-06
-9.2	-2.86E-06
-9.4	-2.89E-06
-9.6	-2.92E-06
-9.8	-2.94E-06
-10	-2.97E-06
-10.2	-2.99E-06
-10.4	-3.02E-06
-10.6	-3.04E-06
-10.8	-3.07E-06
-11	-3.09E-06
-11.2	-3.11E-06
-11.4	-3.14E-06
-11.6	-3.16E-06
-11.8	-3.19E-06
-12	-3.21E-06
-12.2	-3.23E-06
-12.4	-3.26E-06
-12.6	-3.28E-06
-12.8	-3.30E-06
-13	-3.33E-06
-13.2	-3.35E-06
-13.4	-3.37E-06
-13.6	-3.39E-06
-13.8	-3.41E-06
-14	-3.44E-06
-14.2	-3.46E-06
-14.4	-3.48E-06
-14.6	-3.50E-06
-14.8	-3.52E-06
-15	-3.54E-06
-15.2	-3.56E-06
-15.4	-3.58E-06
-15.6	-3.60E-06
-15.8	-3.62E-06
-16	-3.64E-06
-16.2	-3.66E-06
-16.4	-3.68E-06
-16.6	-3.70E-06
-16.8	-3.72E-06
-17	-3.74E-06
-17.2	-3.75E-06
-17.4	-3.77E-06
-17.6	-3.79E-06
-17.8	-3.81E-06
-18	-3.82E-06
-18.2	-3.84E-06
-18.4	-3.86E-06
-18.6	-3.88E-06
-18.8	-3.89E-06
-19	-3.91E-06
-19.2	-3.92E-06
-19.4	-3.94E-06
-19.6	-3.96E-06
-19.8	-3.97E-06
-20	-3.99E-06
-20	-1.68E-06
-19.8	-1.65E-06
-19.6	-1.63E-06
-19.4	-1.60E-06
-19.2	-1.58E-06
-19	-1.55E-06
-18.8	-1.53E-06
-18.6	-1.50E-06
-18.4	-1.48E-06
-18.2	-1.45E-06
-18	-1.43E-06
-17.8	-1.40E-06
-17.6	-1.38E-06
-17.4	-1.35E-06
-17.2	-1.33E-06
-17	-1.30E-06
-16.8	-1.28E-06
-16.6	-1.25E-06
-16.4	-1.23E-06
-16.2	-1.20E-06
-16	-1.18E-06
-15.8	-1.16E-06
-15.6	-1.13E-06
-15.4	-1.11E-06
-15.2	-1.08E-06
-15	-1.06E-06
-14.8	-1.04E-06
-14.6	-1.01E-06
-14.4	-9.90E-07
-14.2	-9.67E-07
-14	-9.44E-07
-13.8	-9.21E-07
-13.6	-8.98E-07
-13.4	-8.75E-07
-13.2	-8.53E-07
-13	-8.30E-07
-12.8	-8.08E-07
-12.6	-7.86E-07
-12.4	-7.64E-07
-12.2	-7.42E-07
-12	-7.20E-07
-11.8	-6.98E-07
-11.6	-6.77E-07
-11.4	-6.56E-07
-11.2	-6.34E-07
-11	-6.13E-07
-10.8	-5.93E-07
-10.6	-5.72E-07
-10.4	-5.51E-07
-10.2	-5.31E-07
-10	-5.11E-07
-9.8	-4.91E-07
-9.6	-4.71E-07
-9.4	-4.52E-07
-9.2	-4.32E-07
-9	-4.13E-07
-8.8	-3.94E-07
-8.6	-3.76E-07
-8.4	-3.57E-07
-8.2	-3.39E-07
-8	-3.21E-07
-7.8	-3.03E-07
-7.6	-2.86E-07
-7.4	-2.69E-07
-7.2	-2.52E-07
-7	-2.36E-07
-6.8	-2.20E-07
-6.6	-2.04E-07
-6.4	-1.89E-07
-6.2	-1.75E-07
-6	-1.60E-07
-5.8	-1.47E-07
-5.6	-1.34E-07
-5.4	-1.21E-07
-5.2	-1.09E-07
-5	-9.82E-08
-4.8	-8.70E-08
-4.6	-7.74E-08
-4.4	-6.86E-08
-4.2	-6.03E-08
-4	-5.28E-08
-3.8	-4.59E-08
-3.6	-3.97E-08
-3.4	-3.42E-08
-3.2	-2.93E-08
-3	-2.49E-08
-2.8	-2.11E-08
-2.6	-1.78E-08
-2.4	-1.50E-08
-2.2	-1.25E-08
-2	-1.04E-08
-1.8	-8.67E-09
-1.6	-7.18E-09
-1.4	-5.94E-09
-1.2	-4.90E-09
-1	-4.03E-09
-0.8	-3.31E-09
-0.6	-2.72E-09
-0.4	-2.23E-09
-0.2	-1.82E-09
0	-1.49E-09
0.2	-1.22E-09
0.4	-9.94E-10
0.6	-8.50E-10
0.8	-6.90E-10
1	-5.67E-10
1.2	-4.70E-10
1.4	-3.96E-10
1.6	-3.39E-10
